node_key,node_type,source,node_id,name
effect/phenotype|HPO|1,effect/phenotype,HPO,1,All
effect/phenotype|HPO|10,effect/phenotype,HPO,10,Recurrent urinary tract infections
effect/phenotype|HPO|100,effect/phenotype,HPO,100,Nephrotic syndrome
effect/phenotype|HPO|1000,effect/phenotype,HPO,1000,Abnormality of skin pigmentation
effect/phenotype|HPO|10000,effect/phenotype,HPO,10000,Complete duplication of the proximal phalanges of the hand
effect/phenotype|HPO|100000,effect/phenotype,HPO,100000,Early onset of sexual maturation
effect/phenotype|HPO|100005,effect/phenotype,HPO,100005,Testicular mesothelioma
effect/phenotype|HPO|100006,effect/phenotype,HPO,100006,Neoplasm of the central nervous system
effect/phenotype|HPO|100007,effect/phenotype,HPO,100007,Neoplasm of the peripheral nervous system
effect/phenotype|HPO|100008,effect/phenotype,HPO,100008,Schwannoma
effect/phenotype|HPO|100009,effect/phenotype,HPO,100009,Intracranial meningioma
effect/phenotype|HPO|10001,effect/phenotype,HPO,10001,Complete duplication of the distal phalanges of the hand
effect/phenotype|HPO|100010,effect/phenotype,HPO,100010,Spinal meningioma
effect/phenotype|HPO|100011,effect/phenotype,HPO,100011,Scleral schwannoma
effect/phenotype|HPO|100012,effect/phenotype,HPO,100012,Neoplasm of the eye
effect/phenotype|HPO|100013,effect/phenotype,HPO,100013,Neoplasm of the breast
effect/phenotype|HPO|100014,effect/phenotype,HPO,100014,Epiretinal membrane
effect/phenotype|HPO|100015,effect/phenotype,HPO,100015,Stahl ear
effect/phenotype|HPO|100016,effect/phenotype,HPO,100016,Abnormality of mesentery morphology
effect/phenotype|HPO|100017,effect/phenotype,HPO,100017,Capsular cataract
effect/phenotype|HPO|100019,effect/phenotype,HPO,100019,Cortical cataract
effect/phenotype|HPO|10002,effect/phenotype,HPO,10002,Complete duplication of the middle phalanges of the hand
effect/phenotype|HPO|100020,effect/phenotype,HPO,100020,Posterior capsular cataract
effect/phenotype|HPO|100022,effect/phenotype,HPO,100022,Abnormality of movement
effect/phenotype|HPO|100023,effect/phenotype,HPO,100023,Recurrent hand flapping
effect/phenotype|HPO|100024,effect/phenotype,HPO,100024,Conspicuously happy disposition
effect/phenotype|HPO|100025,effect/phenotype,HPO,100025,Overfriendliness
effect/phenotype|HPO|100027,effect/phenotype,HPO,100027,Recurrent pancreatitis
effect/phenotype|HPO|100028,effect/phenotype,HPO,100028,Ectopic thyroid
