node_key,node_type,source,node_id,name
disease|MONDO|1,disease,MONDO,1,disease or disorder
disease|MONDO|1000,disease,MONDO,1000,mixed mineral dust pneumoconiosis
disease|MONDO|10000,disease,MONDO,10000,"rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction"
disease|MONDO|100000,disease,MONDO,100000,MED12-related intellectual disability syndrome
disease|MONDO|100001,disease,MONDO,100001,alpha-gal syndrome
disease|MONDO|100002,disease,MONDO,100002,food protein-induced allergic proctocolitis
disease|MONDO|100004,disease,MONDO,100004,mast cell activation syndrome
disease|MONDO|100005,disease,MONDO,100005,primary mast cell activation syndrome
disease|MONDO|100006,disease,MONDO,100006,secondary mast cell activation syndrome
disease|MONDO|100008,disease,MONDO,100008,food protein-induced enterocolitis syndrome
disease|MONDO|10001,disease,MONDO,10001,ectodermal dysplasia-blindness syndrome
disease|MONDO|100010,disease,MONDO,100010,tendinopathy
disease|MONDO|100011,disease,MONDO,100011,tendinosis
disease|MONDO|100012,disease,MONDO,100012,paratenonitis
disease|MONDO|100013,disease,MONDO,100013,paratenonitis with tendinosis
disease|MONDO|100014,disease,MONDO,100014,autoimmune retinopathy
disease|MONDO|100015,disease,MONDO,100015,adult-onset segmental dystonia
disease|MONDO|100016,disease,MONDO,100016,early-onset generalized dystonia
disease|MONDO|100019,disease,MONDO,100019,ECHS1-related paroxysmal dyskinesia
disease|MONDO|10002,disease,MONDO,10002,Rothmund-Thomson syndrome
disease|MONDO|100020,disease,MONDO,100020,atypical childhood epilepsy with centrotemporal spikes
disease|MONDO|100021,disease,MONDO,100021,photosensitive occipital lobe epilepsy
disease|MONDO|100022,disease,MONDO,100022,neonatal/infantile epilepsy syndrome
disease|MONDO|100023,disease,MONDO,100023,self-limited familial and non-familial neonatal seizures
disease|MONDO|100024,disease,MONDO,100024,self-limited familial and non-familial infantile seizures
disease|MONDO|100025,disease,MONDO,100025,epilepsy of infancy with migrating focal seizures
disease|MONDO|100026,disease,MONDO,100026,myoclonic encephalopathy in non-progressive disorder
disease|MONDO|100027,disease,MONDO,100027,"febrile seizures plus, genetic epilepsy with febrile seizures plus"
disease|MONDO|100028,disease,MONDO,100028,immune epilepsy
disease|MONDO|100029,disease,MONDO,100029,antibody mediated epilepsy
disease|MONDO|10003,disease,MONDO,10003,Rowley-Rosenberg syndrome
disease|MONDO|100030,disease,MONDO,100030,adolescent/adult-onset epilepsy syndrome
disease|MONDO|100031,disease,MONDO,100031,adolescent/adult onset autosomal dominant epilepsy with auditory features
disease|MONDO|100032,disease,MONDO,100032,familial temporal lobe epilepsy syndrome
disease|MONDO|100033,disease,MONDO,100033,metabolic epilepsy
disease|MONDO|100034,disease,MONDO,100034,cerebral folate deficiency
disease|MONDO|100035,disease,MONDO,100035,structural epilepsy
disease|MONDO|100036,disease,MONDO,100036,variable age onset epilepsy
disease|MONDO|100038,disease,MONDO,100038,complex neurodevelopmental disorder
disease|MONDO|100039,disease,MONDO,100039,CDKL5 disorder
disease|MONDO|10004,disease,MONDO,10004,EEC syndrome
disease|MONDO|100040,disease,MONDO,100040,FOXG1 disorder
disease|MONDO|10005,disease,MONDO,10005,saccharopinuria
disease|MONDO|100051,disease,MONDO,100051,idiopathic mast cell activation syndrome
disease|MONDO|100052,disease,MONDO,100052,acetazolamide-responsive hereditary episodic ataxia
disease|MONDO|100053,disease,MONDO,100053,anaphylaxis
disease|MONDO|100054,disease,MONDO,100054,idiopathic anaphylaxis
disease|MONDO|100056,disease,MONDO,100056,exercise-induced anaphylaxis
disease|MONDO|100057,disease,MONDO,100057,food-dependent exercise-induced anaphylaxis
disease|MONDO|100058,disease,MONDO,100058,hypervalinemia and hyperleucine-isoleucinemia
disease|MONDO|100059,disease,MONDO,100059,hypereosinophilia of undetermined significance
disease|MONDO|10006,disease,MONDO,10006,Sandhoff disease
disease|MONDO|100061,disease,MONDO,100061,PRPS1 deficiency disorder
disease|MONDO|100062,disease,MONDO,100062,developmental and epileptic encephalopathy
disease|MONDO|100063,disease,MONDO,100063,Pericytoma with t(7;12)
disease|MONDO|100064,disease,MONDO,100064,tyrosine hydroxylase deficiency
